campus,tipo_campus,total_ativos,total_processos,taxa_adesao_pct,participacao_pct,total
RE,Capital,175,128,73.1,17.3,128
CNAT,Capital,200,103,51.5,13.9,103
MO,Interior,61,42,68.9,5.7,42
PAR,Interior,52,36,69.2,4.9,36
SGA,Interior,43,33,76.7,4.4,33
AP,Interior,49,33,67.3,4.4,33
CH,Capital,46,32,69.6,4.3,32
PF,Interior,44,29,65.9,3.9,29
ZN,Capital,45,29,64.4,3.9,29
CN,Interior,46,28,60.9,3.8,28
IP,Interior,46,26,56.5,3.5,26
NC,Interior,37,26,70.3,3.5,26
CM,Interior,36,25,69.4,3.4,25
CA,Interior,40,25,62.5,3.4,25
SC,Interior,40,24,60.0,3.2,24
CANG,Interior,34,23,67.6,3.1,23
SPP,Interior,40,22,55.0,3.0,22
JC,Interior,39,20,51.3,2.7,20
ZL,Capital,26,20,76.9,2.7,20
MC,Interior,40,13,32.5,1.8,13
LAJ,Interior,21,10,47.6,1.3,10
PAAS,Interior,23,10,43.5,1.3,10
CTM,Interior,1,2,200.0,0.3,2
UMZ,Interior,0,1,0.0,0.1,1
SM,Interior,0,1,0.0,0.1,1
TOU,Interior,0,1,0.0,0.1,1
JUC,Interior,7,0,0.0,0.0,0
